video_id,titulo,data_publicacao,descricao,visualizacoes,curtidas,comentarios,channel_id,channel_title,url,data_coleta,politico,partido,cargo
33o1pmD-KZQ,PREPARAÇÃO PARA O INÍCIO DA CAMPANHA | ANÁLISES RENAIS | 07/08/2026,2026-08-07T19:09:02Z,"Faça parte da vaquinha! http://queroapoiar.com.br/renan

Compre seu Livro Amarelo http://livroamarelo.org.br

Faça seu pix agora https://doe.missao.org.br/

Entre nos grupos de zap!
http://renansantosmbl.com/zap

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",118962,22774,663,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=33o1pmD-KZQ,2026-08-12,Renan Santos,MISSÃO,Candidato
WL5NKWP3FYc,RENAN VISITA CIDADE DEVASTADA PELAS ENCHENTES NO RS,2026-08-07T19:02:11Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",74956,8779,656,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=WL5NKWP3FYc,2026-08-12,Renan Santos,MISSÃO,Candidato
Skru1hCcIkI,Não vou fazer nada igual o Bukele?,2026-08-07T17:30:15Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",161290,19255,905,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=Skru1hCcIkI,2026-08-12,Renan Santos,MISSÃO,Candidato
FvLw26kBOto,Esse caso aqui vai gerar pena de m0rte.,2026-08-07T16:00:01Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",169814,16596,677,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=FvLw26kBOto,2026-08-12,Renan Santos,MISSÃO,Candidato
Ch4eEKWqTIs,Urgente: Janja quer derrubar rede social,2026-08-07T14:05:16Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",89388,10675,580,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=Ch4eEKWqTIs,2026-08-12,Renan Santos,MISSÃO,Candidato
kpkxCts2p98,"Obrigado, Globo!",2026-08-06T23:21:30Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",174439,22941,875,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=kpkxCts2p98,2026-08-12,Renan Santos,MISSÃO,Candidato
T3ENScVymJQ,RENAN SANTOS FAZ PRONUNCIAMENTO OFICIAL | ANÁLISES RENAIS | 06/08/2026,2026-08-06T19:27:30Z,"Faça parte da vaquinha! http://queroapoiar.com.br/renan

Compre seu Livro Amarelo http://livroamarelo.org.br

Faça seu pix agora https://doe.missao.org.br/

Entre nos grupos de zap!
http://renansantosmbl.com/zap

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",226233,37515,1592,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=T3ENScVymJQ,2026-08-12,Renan Santos,MISSÃO,Candidato
_wUHnbEHOy0,Lula ou Flávio?,2026-08-06T18:00:24Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",54247,4392,222,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=_wUHnbEHOy0,2026-08-12,Renan Santos,MISSÃO,Candidato
PAiDp7jaZ_Q,Ordem ilegal não se cumpre.,2026-08-06T16:00:22Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",24092,3391,145,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=PAiDp7jaZ_Q,2026-08-12,Renan Santos,MISSÃO,Candidato
AX-ogor604M,Você concorda?,2026-08-06T13:58:42Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",19662,2652,186,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=AX-ogor604M,2026-08-12,Renan Santos,MISSÃO,Candidato
